id,sync_type,started_at,completed_at,records_processed,records_created,records_updated,records_failed,status,error_message,error_details,shopify_shop_domain,last_shopify_id,tenant_id
29,customers,2026-03-12 00:31:09.003923+00:00,2026-03-12 00:31:17.256063+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
30,orders,2026-03-12 00:31:17.318248+00:00,2026-03-12 00:31:25.560926+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
31,products,2026-03-12 00:33:18.487807+00:00,2026-03-12 00:33:26.887066+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders.)",{},moioplatform.myshopify.com,,1
32,customers,2026-03-12 00:33:26.965163+00:00,2026-03-12 00:33:35.250690+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders.)",{},moioplatform.myshopify.com,,1
33,orders,2026-03-12 00:33:35.307612+00:00,2026-03-12 00:33:43.716760+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders.)",{},moioplatform.myshopify.com,,1
34,products,2026-03-12 00:38:29.246108+00:00,2026-03-12 00:38:37.580978+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders.)",{},moioplatform.myshopify.com,,1
35,customers,2026-03-12 00:38:37.603868+00:00,2026-03-12 00:38:45.854406+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders.)",{},moioplatform.myshopify.com,,1
36,orders,2026-03-12 00:38:45.915907+00:00,2026-03-12 00:38:54.165852+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders.)",{},moioplatform.myshopify.com,,1
38,customers,2026-03-12 01:32:01.679071+00:00,,0,0,0,0,running,,{},moioplatform.myshopify.com,,1
37,products,2026-03-12 01:31:57.460975+00:00,2026-03-12 01:32:06.182206+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
39,orders,2026-03-12 01:32:21.456037+00:00,2026-03-12 01:32:29.779151+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
40,products,2026-03-12 01:34:50.600518+00:00,2026-03-12 01:34:58.912569+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
42,orders,2026-03-12 01:34:59.543405+00:00,,0,0,0,0,running,,{},moioplatform.myshopify.com,,1
41,customers,2026-03-12 01:34:55.374066+00:00,2026-03-12 01:35:03.658869+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
43,products,2026-03-12 01:42:17.814625+00:00,2026-03-12 01:42:26.237178+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
