session,id,start,end,last_interaction,started_by,context,final_summary,channel,active,busy,multi_message,experience,human_mode,thread_id,assistant_id,agent_id,csat,current_agent,agent_input_thread,contact_id,tenant_id
552f2495-e503-48cc-a923-60a1081b4fb7,552f2495-e503-48cc-a923-60a1081b4fb7,2026-03-12 22:11:50.238385+00:00,2026-03-12 22:11:58.319364+00:00,2026-03-12 22:11:50.250390+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,739e9eaf-80a5-4fbb-bfab-d8130bf5e66d,1
19957d26-5d2a-4e43-87ac-c33df68eccd9,19957d26-5d2a-4e43-87ac-c33df68eccd9,2026-03-12 22:10:59.689662+00:00,2026-03-12 22:16:23.890477+00:00,2026-03-12 22:11:23.811815+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
7958ebee-a1c7-47cc-9bf4-270fed76cf1a,7958ebee-a1c7-47cc-9bf4-270fed76cf1a,2026-03-12 22:16:25.480890+00:00,2026-03-12 22:17:33.103768+00:00,2026-03-12 22:16:25.503177+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
08ce51c6-5d66-4491-9eed-f8d8db339a6e,08ce51c6-5d66-4491-9eed-f8d8db339a6e,2026-03-12 22:27:38.791911+00:00,2026-03-12 22:32:39.026996+00:00,2026-03-12 22:27:38.830450+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
1639e5b5-565f-4c88-abb8-48a689e06da5,1639e5b5-565f-4c88-abb8-48a689e06da5,2026-03-12 22:26:34.215373+00:00,2026-03-12 22:26:56.911914+00:00,2026-03-12 22:26:42.034018+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
a7c18600-5a36-497f-b5bf-f481148849a1,a7c18600-5a36-497f-b5bf-f481148849a1,2026-03-12 22:27:28.539091+00:00,2026-03-12 22:32:40.462326+00:00,2026-03-12 22:27:40.399433+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
81c0c478-f10b-4380-a3d8-f4d773e1cb6a,81c0c478-f10b-4380-a3d8-f4d773e1cb6a,2026-03-12 22:26:57.864028+00:00,2026-03-12 22:27:27.541774+00:00,2026-03-12 22:27:07.592526+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
fdfc02d2-7ef3-4ab0-9be1-67672429f465,fdfc02d2-7ef3-4ab0-9be1-67672429f465,2026-03-12 22:43:05.772957+00:00,2026-03-12 22:48:05.944958+00:00,2026-03-12 22:43:05.816307+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
4f3d2619-9126-4ad8-93df-a182d01ba6fd,4f3d2619-9126-4ad8-93df-a182d01ba6fd,2026-03-12 22:32:40.805895+00:00,2026-03-12 22:37:41.199479+00:00,2026-03-12 22:32:40.853782+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
d2dfb5ae-5919-48e0-a4fb-038a7e5c39da,d2dfb5ae-5919-48e0-a4fb-038a7e5c39da,2026-03-12 22:32:42.738344+00:00,2026-03-12 22:37:42.932397+00:00,2026-03-12 22:32:42.774823+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
